Pixel,Resultado
0,Positivo
1,Positivo
2,Positivo
3,Positivo
4,Positivo
5,Positivo
6,Positivo
7,Positivo
8,Positivo
9,Positivo
10,Positivo
11,Positivo
12,Positivo
13,Positivo
14,Positivo
15,Positivo
16,Positivo
17,Positivo
18,Positivo
19,Positivo
20,Positivo
21,Positivo
22,Positivo
23,Positivo
24,Positivo
25,Positivo
26,Positivo
27,Positivo
28,Positivo
29,Positivo
30,Positivo
31,Positivo
32,Positivo
33,Positivo
34,Positivo
35,Positivo
36,Positivo
37,Positivo
38,Positivo
39,Positivo
40,Positivo
41,Positivo
42,Positivo
43,Positivo
44,Positivo
45,Positivo
46,Positivo
47,Positivo
48,Positivo
49,Positivo
50,Positivo
51,Positivo
52,Positivo
53,Positivo
54,Positivo
55,Positivo
56,Positivo
57,Positivo
58,Positivo
59,Positivo
60,Positivo
61,Positivo
62,Positivo
63,Positivo
64,Positivo
65,Positivo
66,Positivo
67,Positivo
68,Positivo
69,Positivo
70,Positivo
71,Positivo
72,Positivo
73,Positivo
74,Positivo
75,Positivo
76,Positivo
77,Positivo
78,Positivo
79,Positivo
80,Positivo
81,Positivo
82,Positivo
83,Positivo
84,Positivo
85,Positivo
86,Positivo
87,Positivo
88,Positivo
89,Positivo
90,Positivo
91,Positivo
92,Positivo
93,Positivo
94,Positivo
95,Positivo
96,Positivo
97,Positivo
98,Positivo
99,Positivo
100,Positivo
101,Positivo
102,Positivo
103,Positivo
104,Positivo
105,Positivo
106,Positivo
107,Positivo
108,Positivo
109,Positivo
110,Positivo
111,Positivo
112,Positivo
113,Positivo
114,Positivo
115,Positivo
116,Positivo
117,Positivo
118,Positivo
119,Positivo
120,Positivo
121,Positivo
122,Positivo
123,Positivo
124,Positivo
125,Positivo
126,Positivo
127,Positivo
128,Positivo
129,Positivo
130,Positivo
131,Positivo
132,Positivo
133,Positivo
134,Positivo
135,Positivo
136,Positivo
137,Positivo
138,Positivo
139,Positivo
140,Positivo
141,Positivo
142,Positivo
143,Positivo
144,Positivo
145,Positivo
146,Positivo
147,Positivo
148,Positivo
149,Positivo
150,Positivo
151,Positivo
152,Positivo
153,Positivo
154,Positivo
155,Positivo
156,Positivo
157,Positivo
158,Positivo
159,Positivo
160,Positivo
161,Positivo
162,Positivo
163,Positivo
164,Positivo
165,Positivo
166,Positivo
167,Positivo
168,Positivo
169,Positivo
170,Positivo
171,Positivo
172,Positivo
173,Positivo
174,Positivo
175,Positivo
176,Positivo
177,Positivo
178,Positivo
179,Positivo
180,Positivo
181,Positivo
182,Positivo
183,Positivo
184,Positivo
185,Positivo
186,Positivo
187,Positivo
188,Positivo
189,Positivo
190,Positivo
191,Positivo
192,Positivo
193,Positivo
194,Positivo
195,Positivo
196,Positivo
197,Positivo
198,Positivo
199,Positivo
200,Positivo
201,Positivo
202,Positivo
203,Positivo
204,Positivo
205,Positivo
206,Positivo
207,Positivo
208,Positivo
209,Positivo
210,Positivo
211,Positivo
212,Positivo
213,Positivo
214,Positivo
215,Positivo
216,Positivo
217,Positivo
218,Positivo
219,Positivo
220,Positivo
221,Positivo
222,Positivo
223,Positivo
224,Positivo
225,Positivo
226,Positivo
227,Positivo
228,Positivo
229,Positivo
230,Positivo
231,Positivo
232,Positivo
233,Positivo
234,Positivo
235,Positivo
236,Positivo
237,Positivo
238,Positivo
239,Positivo
240,Positivo
241,Positivo
242,Positivo
243,Positivo
244,Positivo
245,Positivo
246,Positivo
247,Positivo
248,Positivo
249,Positivo
250,Positivo
251,Positivo
252,Positivo
253,Positivo
254,Positivo
255,Positivo
256,Positivo
257,Positivo
258,Positivo
259,Positivo
260,Positivo
261,Positivo
262,Positivo
263,Positivo
264,Positivo
265,Positivo
266,Positivo
267,Positivo
268,Positivo
269,Positivo
270,Positivo
271,Positivo
272,Positivo
273,Positivo
274,Positivo
275,Positivo
276,Positivo
277,Positivo
278,Positivo
279,Positivo
280,Positivo
281,Positivo
282,Positivo
283,Positivo
284,Positivo
285,Positivo
286,Positivo
287,Positivo
288,Positivo
289,Positivo
290,Positivo
291,Positivo
292,Positivo
293,Positivo
294,Positivo
295,Positivo
296,Positivo
297,Positivo
298,Positivo
299,Positivo
300,Positivo
301,Positivo
302,Positivo
303,Positivo
304,Positivo
305,Positivo
306,Positivo
307,Positivo
308,Positivo
309,Positivo
310,Positivo
311,Positivo
312,Positivo
313,Positivo
314,Positivo
315,Positivo
316,Positivo
317,Positivo
318,Positivo
319,Positivo
320,Positivo
321,Positivo
322,Positivo
323,Positivo
324,Positivo
325,Positivo
326,Positivo
327,Positivo
328,Positivo
329,Positivo
330,Positivo
331,Positivo
332,Positivo
333,Positivo
334,Positivo
335,Positivo
336,Positivo
337,Positivo
338,Positivo
339,Positivo
340,Positivo
341,Positivo
342,Positivo
343,Positivo
344,Positivo
345,Positivo
346,Positivo
347,Positivo
348,Positivo
349,Positivo
350,Positivo
351,Positivo
352,Positivo
353,Positivo
354,Positivo
355,Positivo
356,Positivo
357,Positivo
358,Positivo
359,Positivo
360,Positivo
361,Positivo
362,Positivo
363,Positivo
364,Positivo
365,Positivo
366,Positivo
367,Positivo
368,Positivo
369,Positivo
370,Positivo
371,Positivo
372,Positivo
373,Positivo
374,Positivo
375,Positivo
376,Positivo
377,Positivo
378,Positivo
379,Positivo
380,Positivo
381,Positivo
382,Positivo
383,Positivo
384,Positivo
385,Positivo
386,Positivo
387,Positivo
388,Positivo
389,Positivo
390,Positivo
391,Positivo
